Age ,Gender,heard_CCM_website,heard_community_event,heard_current_student,heard_family_friend_member,heard_from_high_school,interested_computing_App_Dev,interested_computing_Comp_Prog,interested_computing_CyberSec,interested_computing_Data_Anal,interested_computing_Game_Design,interested_computing_ML_AI,interested_computing_web_dev,interest_CS_IT_GameDev_scale,Timestamp,impact_family_friend_influence,impact_affordable_cost,impact_choice_programs,impact_college_reputation,impact_online_offerings,scholarships,impact_transfer_student,motivation_professional_dev,motivation_keep_computing_skills_current,current_enrolled_course
21-24,Woman,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,3,2024/09/18 4:12:53 PM AST,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Yes,Yes,CMP 101 Computer Information Literacy
19-20,Prefer not to say,No,No,Yes,No,No,No,No,No,No,No,No,No,1,2024/09/19 9:12:47 AM AST,No Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No,No,CMP 126 Computer Technology and Applications
19-20,Woman,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,1,2024/09/19 9:15:33 AM AST,No Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No,Yes,CMP 126 Computer Technology and Applications
25-34,Woman,Yes,No,No,Yes,No,No,No,No,No,No,No,No,2,2024/09/19 9:21:51 AM AST,,Some Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
25-34,Man,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3,2024/09/19 9:34:15 AM AST,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No,Yes,CMP 126 Computer Technology and Applications
19-20,Man,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,2,2024/09/19 9:49:38 AM AST,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Yes,Yes,CMP 135 Computer Concepts with Applications
19-20,Woman,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,3,2024/09/19 10:20:11 AM AST,No Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Yes,Yes,CMP 126 Computer Technology and Applications
19-20,Man,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,3,2024/09/19 10:58:08 AM AST,,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,Yes,CMP 126 Computer Technology and Applications
18 and younger,Woman,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,3,2024/09/19 11:18:36 AM AST,No Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,CMP 101 Computer Information Literacy
19-20,Woman,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,2,2024/09/19 11:20:18 AM AST,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,Yes,CMP 126 Computer Technology and Applications
19-20,Woman,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,2,2024/09/19 11:40:21 AM AST,No Impact,High Impact,No Impact,Some Impact,,No Impact,No Impact,No,Yes,CMP 126 Computer Technology and Applications
19-20,Woman,No,No,No,Yes,Yes,No,No,No,No,No,No,No,1,2024/09/19 12:15:33 PM AST,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No,No,CMP 126 Computer Technology and Applications
21-24,Woman,No,No,Yes,Yes,No,No,No,No,No,No,No,No,1,2024/09/19 12:35:00 PM AST,,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Yes,Yes,CMP 101 Computer Information Literacy
21-24,Woman,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,3,2024/09/19 1:14:32 PM AST,,Some Impact,High Impact,High Impact,,,,No,Yes,CMP 135 Computer Concepts with Applications
19-20,Woman,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,2,2024/09/19 2:00:30 PM AST,No Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No,Yes,CMP 126 Computer Technology and Applications
19-20,Woman,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,3,2024/09/19 8:00:55 PM AST,No Impact,High Impact,High Impact,,High Impact,,,Yes,No,CMP 101 Computer Information Literacy
35-64,Man,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,3,2024/09/19 8:41:25 PM AST,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,Yes,CMP 101 Computer Information Literacy
35-64,Man,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,3,2024/09/19 8:44:52 PM AST,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,CMP 101 Computer Information Literacy
19-20,Woman,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,3,2024/09/19 8:59:39 PM AST,,High Impact,,Some Impact,Some Impact,No Impact,No Impact,No,No,CMP 126 Computer Technology and Applications
25-34,Woman,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,4,2024/09/19 9:13:35 PM AST,No Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,Yes,Yes,CMP 126 Computer Technology and Applications
35-64,Woman,Yes,No,No,No,No,No,No,No,No,No,No,No,2,2024/09/19 9:53:02 PM AST,No Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,Some Impact,Yes,Yes,CMP 126 Computer Technology and Applications
21-24,Man,No,No,No,No,Yes,No,No,No,No,No,No,No,2,2024/09/19 9:54:19 PM AST,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Yes,No,CMP 126 Computer Technology and Applications
